"","VENTAS_CAT","COD_PERSONA","NUM_CONTRATO","PRODUCTO","IND_MOR","EXPOSURE","EAD_STD","EAD_DT","LGD_STD","LGD_DT","PD_TTC","M"
"638","<= 100",33256373,6.51218000012181e+21,"Lease",20,375017.08,375017.08,375017.08,0.35,0.45,0.032,4
"639","<= 100",33256373,6.51218000012181e+21,"Lease",20,375242.62,375242.62,375242.62,0.35,0.45,0.032,4
"640","<= 100",33266948,6.51163000000006e+21,"Mortgage",30,333781.67,333781.67,333781.67,0.35,0.45,0.032,4
"641","<= 100",33273464,6.51218000012181e+21,"Lease",23,336405.36,336405.36,336405.36,0.35,0.45,0.032,4
"642","<= 100",33273464,6.51218000012181e+21,"Lease",23,333007.25,333007.25,333007.25,0.35,0.45,0.032,4
"643","<= 100",33273561,6.51218000012181e+21,"Lease",23,336405.36,336405.36,336405.36,0.35,0.45,0.032,4
"644","<= 100",33273561,6.51218000012181e+21,"Lease",23,333074.38,333074.38,333074.38,0.35,0.45,0.032,4
"645","<= 100",33278040,6.51518000000006e+21,"Mortgage",30,162436.08,162436.08,162436.08,0.35,0.45,0.032,4
"646","<= 100",33278040,6.51518000000006e+21,"Mortgage",30,276676.91,276676.91,276676.91,0.35,0.45,0.032,4
"647","<= 100",33330328,6.50011000000002e+21,"Consumer Loan",23,193962.72,193962.72,193962.72,0.35,0.45,0.032,4
"648","<= 100",33386344,6.50032000000002e+21,"Consumer Loan",23,1291864.59,1291864.59,1291864.59,0.35,0.45,0.032,4
"649","<= 100",33424357,6.51555000000002e+21,"Consumer Loan",23,13561.01,13561.01,13561.01,0.35,0.45,0.032,4
"650","<= 100",33616248,6.51192000000006e+21,"Mortgage",23,1218023.2,1218023.2,1218023.2,0.35,0.45,0.032,4
"651","<= 100",33847886,6.59999458074122e+21,"Credit Card",20,45,45,45,0.35,0.45,0.032,4
"652","<= 100",33862923,6.51535000015351e+21,"Lease",23,362744.29,362744.29,362744.29,0.35,0.45,0.032,4
"653","<= 100",33980136,6.50031e+21,"Consumer Loan",30,432006.37,432006.37,432006.37,0.35,0.45,0.032,4
"654","<= 100",33980136,6.50031000000311e+21,"Lease",30,148385.42,148385.42,148385.42,0.35,0.45,0.032,4
"655","<= 100",33980136,6.50031000000311e+21,"Lease",30,10896.45,10896.45,10896.45,0.35,0.45,0.032,4
"656","<= 100",33980136,6.50031000000311e+21,"Lease",30,80386.98,80386.98,80386.98,0.35,0.45,0.032,4
"657","<= 100",33980136,6.50031000000311e+21,"Lease",30,28097.29,28097.29,28097.29,0.35,0.45,0.032,4
"658","<= 100",33980136,6.50031000000311e+21,"Lease",30,212768.68,212768.68,212768.68,0.35,0.45,0.032,4
"659","<= 100",33980136,6.50031000000311e+21,"Lease",30,319181.38,319181.38,319181.38,0.35,0.45,0.032,4
"660","<= 100",35474297,6.501e+21,"Consumer Loan",23,106971.8,108254.61,108254.61,0.35,0.45,0.032,4
"661","<= 100",35528729,6.50053000000006e+21,"Mortgage",23,154656.41,154656.41,154656.41,0.35,0.45,0.032,4
"662","<= 100",35644621,6.50031000000002e+21,"Consumer Loan",20,172308.87,172308.87,172308.87,0.35,0.45,0.032,4
"663","<= 100",35729597,6.50180000000002e+21,"Consumer Loan",30,5556.03,5556.03,5556.03,0.35,0.45,0.032,4
"664","<= 100",35850868,6.5999945060813e+21,"Credit Card",50,3451.27,3451.27,3451.27,0.35,0.45,0.032,4
"665","<= 100",35882220,6.51166000000006e+21,"Mortgage",30,213384.43,213384.43,213384.43,0.35,0.45,0.032,4
"666","<= 100",35910550,6.51169000011691e+21,"Lease",23,186856.34,186856.34,186856.34,0.35,0.45,0.032,4
"667","<= 100",35911786,6.51169000011691e+21,"Lease",23,186856.34,186856.34,186856.34,0.35,0.45,0.032,4
"668","<= 100",35912820,6.51169000011691e+21,"Lease",23,186856.34,186856.34,186856.34,0.35,0.45,0.032,4
"669","<= 100",35912995,6.51169000011691e+21,"Lease",23,186856.34,186856.34,186856.34,0.35,0.45,0.032,4
"670","<= 100",35913045,6.51169000011691e+21,"Lease",23,186856.34,186856.34,186856.34,0.35,0.45,0.032,4
"671","<= 100",35913401,6.51169000011691e+21,"Lease",23,186856.34,186856.34,186856.34,0.35,0.45,0.032,4
"672","<= 100",35913584,6.51169000011691e+21,"Lease",23,186856.34,186856.34,186856.34,0.35,0.45,0.032,4
"673","<= 100",35913762,6.51169000011691e+21,"Lease",23,186856.34,186856.34,186856.34,0.35,0.45,0.032,4
"674","<= 100",35913851,6.51169000011691e+21,"Lease",23,186856.34,186856.34,186856.34,0.35,0.45,0.032,4
"675","<= 100",35914025,6.51169000011691e+21,"Lease",23,233575.55,233575.55,233575.55,0.35,0.45,0.032,4
"676","<= 100",36123323,6.51102000000006e+21,"Mortgage",30,727689.5,727689.5,727689.5,0.35,0.45,0.032,4
"677","<= 100",36308293,6.51593000000002e+21,"Consumer Loan",30,80469.75,80469.75,80469.75,0.35,0.45,0.032,4
"678","<= 100",37217496,6.51075000000006e+21,"Mortgage",50,131090.01,131090.01,131090.01,0.35,0.45,0.032,4
"679","<= 100",37706861,6.51203000000006e+21,"Mortgage",30,290151.69,290151.69,290151.69,0.35,0.45,0.032,4
"680","<= 100",38267950,6.50039000000002e+21,"Consumer Loan",20,367592.29,367592.29,367592.29,0.35,0.45,0.032,4
